approvedBetween10001And25000,approvedBetween1And10000,approvedBetween25001AndMax,approvedForFemaAssistance,averageFemaInspectedDamage,city,county,disasterNumber,femaInspectedDamageBetween10001And20000,femaInspectedDamageBetween1And10000,femaInspectedDamageBetween20001And30000,femaInspectedDamageGreaterThan30000,hash,id,lastRefresh,noFemaInspectedDamage,otherNeedsAmount,rentalAmount,repairReplaceAmount,state,totalApprovedIhpAmount,totalDamage,totalInspected,totalMaxGrants,validRegistrations,zipCode
2,10,0,12,2086,STAFFORD,Harris (County),4332,3,16,0,0,69adbee0c50d403765a45e3876a63ec5,5a2f5292758c6e4347f89172,2019-01-29T15:58:18.086Z,18,2000.0,10359,38213.0,TX,50572.0,77204,37,0,50,77477
938,1533,324,2795,10929,PORT ARTHUR,Jefferson (County),4332,994,1064,442,257,ebbd2138303b73df8ac4f44bc22c00d6,5a2f5292758c6e4347f89166,2019-01-29T15:58:18.065Z,766,5866375.0,3478353,19766739.0,TX,29111467.0,38504765,3523,127,4071,77640
4,23,0,27,2181,WALLER,Harris (County),4332,3,25,1,0,e58a801f1bab9fefc3aea3ac7b0be1a4,5a2f5292758c6e4347f89155,2018-11-20T19:06:47.072Z,20,7179.0,24356,73671.0,TX,105207.0,106870,49,0,70,77484
0,12,0,12,405,SABINE PASS,Jefferson (County),4332,0,17,0,0,403efbb032a9da55617dd134fc70430d,5a2f5292758c6e4347f89168,2019-01-29T15:58:17.986Z,22,18548.0,4822,5354.0,TX,28724.0,15821,39,0,49,77655
0,9,0,9,679,VANDERBILT,Jackson (County),4332,0,27,0,0,b40fb5c35055127dd9cc74917cf1042f,5a2f5292758c6e4347f891c1,2018-11-20T19:06:47.243Z,17,2767.0,3830,13903.0,TX,20501.0,29891,44,0,54,77991
9,20,1,30,9807,PEARLAND,Harris (County),4332,17,19,4,3,08e6bbb12abb6725de22d95e73209b35,5a2f5292758c6e4347f891d5,2019-01-29T15:58:18.005Z,8,5000.0,86031,115739.0,TX,206770.0,500196,51,0,70,77581
9,57,2,68,3590,CHINA,Jefferson (County),4332,10,76,3,1,e8543e690baed293edb40ebe2f762162,5a2f5292758c6e4347f89182,2018-11-20T19:06:47.078Z,22,47629.0,46508,209712.0,TX,303850.0,402102,112,1,156,77613
0,3,0,3,2938,NOME,Liberty (County),4332,0,4,0,0,ac4f2619eba2dff0c9851d6c3eaf1c67,5a2f5292758c6e4347f89198,2018-11-20T19:06:47.181Z,2,3352.0,0,6606.0,TX,9958.0,17631,6,0,6,77629
21,71,3,95,7698,WINNIE,Jefferson (County),4332,31,53,12,4,5b8670396ad56bbf02918f0d6bffa655,5a2f5292758c6e4347f8918a,2019-01-29T15:58:18.066Z,31,71183.0,95662,394739.0,TX,561584.0,1008505,131,1,166,77665
0,3,0,3,5022,RICHMOND,Harris (County),4332,1,0,0,0,b704471b83ff3fbe4597a9485cf295b4,5a2f5292758c6e4347f8916d,2018-11-20T19:06:46.620Z,2,1500.0,0,0.0,TX,1500.0,15067,3,0,5,77407
