approvedBetween10001And25000,approvedBetween1And10000,approvedBetween25001AndMax,approvedForFemaAssistance,averageFemaInspectedDamage,city,county,disasterNumber,femaInspectedDamageBetween10001And20000,femaInspectedDamageBetween1And10000,femaInspectedDamageBetween20001And30000,femaInspectedDamageGreaterThan30000,hash,id,lastRefresh,noFemaInspectedDamage,otherNeedsAmount,rentalAmount,repairReplaceAmount,state,totalApprovedIhpAmount,totalDamage,totalInspected,totalMaxGrants,validRegistrations,zipCode
14,81,1,96,3282,LA BLANCA,Hidalgo (County),1780,15,118,2,0,0761f94c72f29a6b25e1b7d785ebf78a,5a2eb84a758c6e4347f550e8,2017-12-11T16:54:34.098Z,10,88321,78061,324187,TX,490569,475946,145,0,154,78558
0,39,1,40,1631,HARGILL,Hidalgo (County),1780,0,78,1,0,8fd63ff13f3dc326708852e4cd8313da,5a2eb84a758c6e4347f550e7,2017-12-11T16:54:34.098Z,6,18604,22586,106437,TX,147627,138675,85,0,89,78549
0,5,0,5,1204,EDINBURG,Hidalgo (County),1780,0,10,0,0,d953607f9ab43f6b607a4efcc973b758,5a2eb84a758c6e4347f550e5,2017-12-11T16:54:34.097Z,2,0,1460,12714,TX,14174,14449,12,0,12,78540
1,70,0,71,857,MCALLEN,Hidalgo (County),1780,1,210,1,0,df185c41907f1dbc3636442ed7e1c57b,5a2eb84a758c6e4347f550ea,2017-12-11T16:54:34.099Z,15,12954,33938,97131,TX,144023,194639,227,0,310,78501
0,24,0,24,586,LASARA,Willacy (County),1780,0,59,0,0,f4850c66df18b3371759d5a599a6d97e,5a2eb84a758c6e4347f55111,2017-12-11T16:54:34.116Z,8,4951,6686,25261,TX,36898,39240,67,0,75,78561
2,86,3,91,1873,MONTE ALTO,Hidalgo (County),1780,3,143,0,2,3bc74863a6fc738ccd7017c07a4cb84e,5a2eb84a758c6e4347f5510a,2017-12-11T16:54:34.113Z,12,21094,39692,226377,TX,287163,299725,160,3,168,78538
1,49,0,50,435,MISSION,Hidalgo (County),1780,0,182,0,0,c69f4e649bc34cfa05715d77c32060a7,5a2eb84a758c6e4347f550eb,2017-12-11T16:54:34.099Z,45,7988,16214,53447,TX,77649,98770,227,0,273,78572
9,161,0,170,1419,LYFORD,Willacy (County),1780,6,288,2,0,0b2b5d0751548101dd6666a9ba5f6efd,5a2eb84a758c6e4347f550f3,2017-12-11T16:54:34.103Z,34,42251,66816,346321,TX,455389,468191,330,0,406,78569
1,0,0,1,14214,RAYMONDVILLE,Willacy (County),1780,1,0,0,0,0ff4a27eabbaed31dd044e34d09973fb,5a2eb84a758c6e4347f550f4,2017-12-11T16:54:34.103Z,0,705,0,13509,TX,14214,14214,1,0,1,78590
35,237,2,274,2314,EDCOUCH,Hidalgo (County),1780,29,412,2,1,3a7e7ccd8edfbdc7ce77cc55fb6e7050,5a2eb84a758c6e4347f55141,2017-12-11T16:54:34.136Z,42,179743,158925,838697,TX,1177366,1124541,486,1,519,78538
4,112,0,116,1130,PROGRESO,Hidalgo (County),1780,5,217,0,0,0083038907479c2dd620fe4f77efa24c,5a2eb84a758c6e4347f5514b,2017-12-11T16:54:34.141Z,46,34830,52292,206365,TX,293487,302973,268,0,280,78579
1,139,1,141,1355,LA VILLA,Hidalgo (County),1780,0,241,0,1,cf480a906032fe6e75b285fcc95859cd,5a2eb84a758c6e4347f55146,2017-12-11T16:54:34.138Z,14,34740,55688,184422,TX,274851,346758,256,1,279,78562
0,0,0,0,2851,RAYMONDVILLE,Hidalgo (County),1780,0,2,0,0,db1a3c225a50084d44877c4f63ea2c3e,5a2eb84a758c6e4347f550ef,2017-12-11T16:54:34.101Z,0,0,0,0,TX,0,5702,2,0,2,78580
6,107,0,113,1642,SEBASTIAN,Willacy (County),1780,3,199,0,0,3326a8059f36258344fd97a3dbe6877d,5a2eb84a758c6e4347f55113,2017-12-11T16:54:34.116Z,34,36367,25282,266207,TX,327856,387420,236,0,273,78594
