approvedBetween10001And25000,approvedBetween1And10000,approvedBetween25001AndMax,approvedForFemaAssistance,averageFemaInspectedDamage,city,county,disasterNumber,femaInspectedDamageBetween10001And20000,femaInspectedDamageBetween1And10000,femaInspectedDamageBetween20001And30000,femaInspectedDamageGreaterThan30000,hash,id,lastRefresh,noFemaInspectedDamage,otherNeedsAmount,rentalAmount,repairReplaceAmount,state,totalApprovedIhpAmount,totalDamage,totalInspected,totalMaxGrants,validRegistrations,zipCode
0,3,0,3,710,NEEDVILLE,Fort Bend (County),1606,0,5,0,0,ddf513887e369cb18abc262c69f56661,5a2eb795758c6e4347f512f5,2017-12-11T16:51:33.044Z,4,0,6000,0,TX,6000,6387,9,0,20,77461
4,246,0,250,343,LA MARQUE,Galveston (County),1606,1,349,2,0,abe5e352909160f42706846bd4daa633,5a2eb795758c6e4347f51308,2017-12-11T16:51:33.053Z,326,30426,393036,60257,TX,483719,232796,678,0,1,77568
23,1,6,1286,2569,WINNIE,Chambers (County),1606,10,961,3,22,696382bb52853ecfb8fb4bd5865db307,5a2eb794758c6e4347f512a3,2017-12-11T16:51:32.998Z,192,638416,2049789,630815,TX,3319020,3052292,1188,5,1,77665
0,116,0,116,277,FRIENDSWOOD,Galveston (County),1606,0,96,0,0,d1a5c8dd522101a4311f4335903f77d8,5a2eb795758c6e4347f51300,2017-12-11T16:51:33.049Z,214,18257,154709,25356,TX,198321,85804,310,0,750,77546
4,252,0,256,1375,CRYSTAL BEACH,Galveston (County),1606,3,153,1,0,84e4c5a7c10c054e4d9b9f57555cd3c8,5a2eb795758c6e4347f512fd,2017-12-11T16:51:33.048Z,82,93936,430940,99155,TX,624031,328727,239,0,450,77650
0,2,0,2,5988,MONROE CITY,Chambers (County),1606,0,2,0,0,3a398293cd3259f52a8bb880aec1fb04,5a2eb795758c6e4347f51314,2017-12-11T16:51:33.058Z,0,1614,2657,5200,TX,9471,11977,2,0,2,77514
1,0,0,1,43921,PORT BOLIVAR,Chambers (County),1606,0,0,0,1,12a223fde267000c8de1b29502c9dff7,5a2eb795758c6e4347f51318,2017-12-11T16:51:33.060Z,0,0,2730,10500,TX,13230,43921,1,0,1,77665
1,84,0,85,111,MISSOURI CITY,Fort Bend (County),1606,0,100,0,0,e2f3541c3908383a187e14303f01cb9c,5a2eb794758c6e4347f5126e,2017-12-11T16:51:32.975Z,151,11974,151814,6646,TX,170434,27825,251,0,608,77489
1,187,0,188,624,HITCHCOCK,Galveston (County),1606,0,279,0,1,5e6b4e5fddb500a4514e6e780f5f4ec1,5a2eb795758c6e4347f51305,2017-12-11T16:51:33.051Z,182,36748,229199,119041,TX,384988,288482,462,0,855,77563
0,1,0,1,14566,HIGH ISLAND GALVASTON COUNTY,Galveston (County),1606,1,0,0,0,2691c05b2d29bc510fdc94fea0071e34,5a2eb795758c6e4347f51330,2017-12-11T16:51:33.070Z,0,807,2000,0,TX,2807,14566,1,0,1,77623
